Index,Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,SeriousCritical,CasesPerMillion,DeathsPerMillion,TotalTests,TestsPerMillion,Population,CFR,RecoveryRate
1,USA,98166904,1084282.0,94962112.0,2120510.0,2970.0,293206.0,3239.0,1118158870.0,3339729.0112540014,334805269.0,1.1045290783541466,96.73536408971398
2,India,44587307,528629.0,44019095.0,39583.0,698.0,31698.0,376.0,894416853.0,635857.1363597576,1406631776.0,1.1856042348554487,98.7256193786272
3,France,35342950,155078.0,34527115.0,660757.0,869.0,538892.0,2365.0,271490188.0,4139546.8973333,65584518.0,0.4387805771730996,97.6916612789821
4,Brazil,34706757,686027.0,33838636.0,182094.0,8318.0,161162.0,3186.0,63776166.0,296146.28254658374,215353593.0,1.9766381514700437,97.49869744384357
5,Germany,33312373,149948.0,32315200.0,847225.0,1406.0,397126.0,1788.0,122332384.0,1458358.8428898542,83883596.0,0.45012704438678086,97.00659871934072
6,S. Korea,24769101,28406.0,24013461.0,727234.0,352.0,482547.0,553.0,15804065.0,307891.9948780729,51329899.0,0.11468320953594562,96.94926351989925
7,UK,23621952,189919.0,23347871.0,84162.0,146.0,344857.0,2773.0,522526476.0,7628356.819720054,68497907.0,0.8039936750358311,98.83971908841403
8,Italy,22432803,177054.0,21779604.0,476145.0,141.0,372250.0,2938.0,246636495.0,4092684.338937623,60262770.0,0.7892638294019699,97.08819713702296
9,Japan,21229216,44678.0,20380089.0,804449.0,204.0,169043.0,356.0,76201407.0,606772.3477893088,125584838.0,0.21045525185668656,96.00019614478462
10,Russia,20948470,387163.0,19979763.0,581544.0,2300.0,143674.0,2655.0,273400000.0,1875094.9849802766,145805947.0,1.8481683865217842,95.37576252585511
11,Turkey,16873793,101139.0,16754301.0,18353.0,975.0,197211.0,1182.0,162743369.0,1902052.4841548775,85561976.0,0.5993850937960422,99.29184860807526
12,Spain,13412263,114084.0,13218892.0,79287.0,339.0,287083.0,2442.0,471036328.0,10082298.343578314,46719142.0,0.850594713211335,98.5582522501982
13,Vietnam,11477886,43148.0,10590917.0,843821.0,106.0,115993.0,436.0,85826548.0,867341.856922533,98953541.0,0.3759228833602285,92.27236618311072
14,Australia,10209239,14984.0,10133494.0,60761.0,49.0,391627.0,575.0,78835048.0,3024115.8853851,26068792.0,0.14676901970852088,99.25807398573
15,Argentina,9708420,129897.0,9563348.0,15175.0,294.0,211006.0,2823.0,35716069.0,776263.5808372545,46010234.0,1.337982905560328,98.50570947692827
16,Netherlands,8422336,22643.0,8362464.0,37229.0,35.0,489345.0,1316.0,21107399.0,1226358.1905693344,17211447.0,0.2688446530748714,99.28912833684147
17,Iran,7548320,144421.0,7325370.0,78529.0,157.0,87748.0,1679.0,54095556.0,628851.1038063067,86022837.0,1.9132866651122369,97.04636263433453
18,Mexico,7084488,330065.0,6353953.0,400470.0,4798.0,53849.0,2509.0,18393211.0,139805.59029267033,131562772.0,4.658981707640693,89.68824564315727
19,Indonesia,6429767,158093.0,6253317.0,18357.0,2771.0,23035.0,566.0,108656989.0,389263.9106010918,279134505.0,2.4587671683903944,97.25573259497584
20,Taiwan,6417941,11003.0,5603195.0,803743.0,0.0,268661.0,461.0,25998416.0,1088319.1749033378,23888595.0,0.17144127688303773,87.30518089835977
21,Colombia,6307372,141794.0,6134690.0,30888.0,342.0,122443.0,2753.0,36572720.0,709973.9672277716,51512762.0,2.2480678165169263,97.26221951075662
22,Poland,6289672,117539.0,5335940.0,836193.0,3086.0,166659.0,3114.0,37335609.0,989290.4530325226,37739785.0,1.8687619958560635,84.83653837592803
23,Portugal,5490639,25024.0,5394788.0,70827.0,61.0,541453.0,2468.0,44988307.0,4436467.279452734,10140570.0,0.4557575174765633,98.2542833356919
24,Ukraine,5177217,109206.0,4973554.0,94457.0,177.0,119865.0,2528.0,19521252.0,451963.2538544877,43192122.0,2.1093572087088486,96.06616836806339
25,Austria,5118512,20738.0,5006572.0,91202.0,47.0,564539.0,2287.0,197543761.0,21787810.683257762,9066710.0,0.4051568111982545,97.8130362886714
26,Greece,4920192,33111.0,4836903.0,50178.0,115.0,476918.0,3209.0,94139966.0,9125063.332169194,10316637.0,0.6729615429641771,98.3072002068212
27,Malaysia,4838872,36369.0,4777329.0,25174.0,43.0,145832.0,1096.0,64604259.0,1947021.4524714572,33181072.0,0.7516007862989557,98.72815399952715
28,DPRK,4772813,74.0,4772739.0,0.0,0.0,183636.0,3.0,22657153.4974785,871741.5,25990679.0,0.0015504483414707426,99.99844955165852
29,Thailand,4681309,32767.0,4642083.0,6459.0,1496.0,66801.0,468.0,17270775.0,246450.02669374953,70078203.0,0.6999537949748671,99.16207197602209
30,Israel,4661096,11698.0,4641394.0,8004.0,101.0,499796.0,1254.0,41373364.0,4436346.129101437,9326000.0,0.250971016258837,99.5773097142818
31,Chile,4620377,61141.0,4540886.0,18350.0,124.0,240017.0,3176.0,45128974.0,2344338.5378693566,19250195.0,1.32329028561955,98.27955597562709
32,Belgium,4533249,32659.0,4451569.0,49021.0,48.0,388511.0,2799.0,35555508.0,3047194.110390582,11668278.0,0.7204325198108464,98.19820177537126
33,Canada,4233468,44992.0,4131367.0,57109.0,99.0,110280.0,1172.0,64928884.0,1691366.45090802,38388419.0,1.0627693418256616,97.58824207481905
34,Peru,4143085,216539.0,3914598.0,11948.0,147.0,122998.0,6429.0,35126382.0,1042814.5438360907,33684208.0,5.226515989896418,94.48509987123121
35,Czechia,4100480,41059.0,4035333.0,24088.0,39.0,381910.0,3824.0,56212735.0,5235528.161877896,10736784.0,1.0013217964726082,98.4112347822694
36,Switzerland,4084307,14183.0,4012833.0,57291.0,54.0,465520.0,1617.0,22318542.0,2543818.7150893067,8773637.0,0.34725597267786185,98.250033604232
37,South Africa,4018769,102185.0,3909265.0,7319.0,192.0,66146.0,1682.0,26174429.0,430811.2917321024,60756135.0,2.542694043872639,97.27518551078701
38,Philippines,3945566,62916.0,3854478.0,28172.0,696.0,35069.0,559.0,32796350.0,291499.80667323363,112508994.0,1.5946001156741516,97.69138318811547
39,Romania,3267370,67016.0,3180124.0,20230.0,123.0,171684.0,3521.0,25094131.0,1318569.1387388222,19031335.0,2.051068596455253,97.329778996563
40,Denmark,3110831,7065.0,3093396.0,10370.0,0.0,533138.0,1211.0,128397719.0,22004939.031182785,5834950.0,0.22710973370138077,99.439538824192
41,Sweden,2588441,20194.0,2548125.0,20122.0,13.0,253298.0,1976.0,18965590.0,1855919.7398642192,10218971.0,0.7801607222262358,98.4424601526556
42,Iraq,2459982,25355.0,2433704.0,923.0,21.0,58342.0,601.0,19239264.0,456285.5441715652,42164965.0,1.030698598607632,98.93178080164815
43,Serbia,2359530,17000.0,2298536.0,43994.0,33.0,272683.0,1965.0,11030499.0,1274757.7260922664,8653016.0,0.7204824689662772,97.4149936639924
44,Hungary,2094142,47503.0,2014175.0,32464.0,18.0,217998.0,4945.0,11394556.0,1186159.5653417213,9606259.0,2.2683753059725653,96.18139553096209
45,Bangladesh,2024489,29362.0,1964501.0,30626.0,1331.0,12059.0,175.0,14872260.0,88585.63281114449,167885689.0,1.4503412960011144,97.03688189958058
46,Singapore,1904192,1617.0,1821160.0,81415.0,9.0,320380.0,272.0,24345019.0,4096042.833688845,5943546.0,0.08491790743790542,95.63951534299062
47,Slovakia,1843220,20455.0,1817938.0,4827.0,22.0,337574.0,3746.0,7298163.0,1336612.64354575,5460193.0,1.1097427328262497,98.6283785983225
48,Georgia,1780691,16900.0,1637293.0,126498.0,0.0,448679.0,4258.0,16920079.0,4263339.88285445,3968738.0,0.9490697712292587,91.9470587541578
49,New Zealand,1779476,2959.0,1767660.0,8857.0,0.0,363292.0,604.0,7544063.0,1540169.52747773,4898203.0,0.16628490634321563,99.33598430099647
50,Hong Kong,1761381,10153.0,1469240.0,281988.0,8.0,231630.0,1335.0,54352132.0,7147553.245867897,7604299.0,0.5764227046845628,83.41409382751375
51,Jordan,1746997,14122.0,1731007.0,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0308512805,10300869.0,0.8083585718807761,99.08471508537221
52,Ireland,1663653,7905.0,1648405.0,7343.0,13.0,331392.0,1575.0,12708583.0,2531489.887153876,5020199.0,0.4751591828344012,99.0834627172854
53,Pakistan,1572598,30616.0,1536924.0,5058.0,47.0,6853.0,133.0,30477451.0,132805.71965032886,229488994.0,1.9468421045937996,97.73152452184219
54,Norway,1462318,4098.0,1457108.0,1112.0,20.0,265327.0,744.0,11002430.0,1996314.8908529095,5511370.0,0.2802400025165525,99.64371634623933
55,Kazakhstan,1393468,13690.0,1378440.0,1338.0,24.0,72557.0,713.0,11575012.0,602706.9035981852,19205043.0,0.982440931546329,98.92153964066631
56,Finland,1292940,5981.0,1263711.0,23248.0,21.0,232754.0,1077.0,11505032.0,2071127.784898541,5554960.0,0.4625891379337015,97.7393382523551
57,Morocco,1264935,16278.0,1248543.0,114.0,293.0,33488.0,431.0,12577650.0,332982.05722664244,37772756.0,1.2868645424468452,98.70412313676196
58,Bulgaria,1258670,37714.0,1211397.0,9559.0,43.0,183892.0,5510.0,10559171.0,1542701.6375105795,6844597.0,2.996337403767469,96.24421015834173
59,Lithuania,1249134,9320.0,1216151.0,23663.0,12.0,469298.0,3502.0,10174473.0,3822535.379538251,2661708.0,0.746116909795106,97.35953068285708
60,Croatia,1231575,16902.0,1209524.0,5149.0,10.0,303397.0,4164.0,5225875.0,1287387.732719498,4059286.0,1.3723890140673527,98.20952844934332
61,Lebanon,1215511,10674.0,1087587.0,117250.0,74.0,181831.0,1597.0,4795578.0,717380.1532390635,6684849.0,0.8781491899291739,89.47570198871092
62,Slovenia,1181073,6820.0,1145051.0,29202.0,22.0,568361.0,3282.0,2743244.0,1320115.0703020259,2078034.0,0.5774410218504699,96.95006151186251
